relation1,relation2,comparison_type,pair1_word1,pair1_word2,pair2_word1,pair2_word2,mean_rating,num_ratings
6a,6a,within-subtype,best,inferior,enthusiasm,apathetic,4.83333333333,12
5a,5a,within-subtype,pizza,cheesy,professor,intellectual,5.2,10
4b,4b,within-subtype,good,bad,hungry,satiated,5.41666666667,12
7c,7c,within-subtype,fairy,wand,housekeeper,broom,6.2,10
3a,3a,within-subtype,bathroom,restroom,raise,elevate,5.63636363636,11
5a,5a,within-subtype,fire,heat,fizzy,pop,5.2,10
8a,8a,within-subtype,accident,damage,heater,warmth,5.5,10
6a,6a,within-subtype,enthusiasm,apathetic,integrity,dishonest,4.63636363636,11
8a,4b,between-type,accident,damage,pretty,ugly,1.81818181818,11
7d,7c,between-subtype,floor,sweep,musician,instrument,2.5,10
4b,4b,within-subtype,bad,good,good,bad,5.6,10
2a,2a,within-subtype,bird,feathers,bottle,water,3.0,10
1a,1a,within-subtype,insect,ant,mammal,porpoise,6.5,10
10a,10a,within-subtype,pregnancy,baby,rain,storm,4.81818181818,11
3a,1a,between-type,run,sprint,song,opera,4.63636363636,11
6a,6a,within-subtype,honest,liar,tidy,messy,5.2,10
5a,5a,within-subtype,heat,fire,light,bright,4.8,10
9a,9a,within-subtype,aquarium,fish,fridge,food,6.45454545455,11
10a,10a,within-subtype,alarm,action,smoke,fire,3.8,10
10a,7c,between-type,doctor,diagnosis,fairy,wand,3.2,10
4c,4b,between-subtype,hope,fear,tall,short,5.0,11
4b,3a,between-type,dirty,clean,tedious,monotonous,1.53846153846,13
10a,10a,within-subtype,cloud,moisture,valentine,love,3.27272727273,11
4b,4b,within-subtype,excited,bored,smart,stupid,6.8,10
8a,8a,within-subtype,loss,grief,tiredness,sleep,5.53846153846,13
1a,1a,within-subtype,automobile,van,wheat,bread,4.7,10
4b,4b,within-subtype,difficult,easy,pretty,ugly,5.0,10
10a,10a,within-subtype,cloud,moisture,flashing,caution,4.8,10
2a,2a,within-subtype,boat,motor,toe,foot,4.4,10
4b,5a,between-type,chilly,warm,snow,cold,1.81818181818,11
4b,4b,within-subtype,dark,light,ugly,pretty,6.2,10
9a,9a,within-subtype,fridge,food,hangar,airplane,6.0,10
5a,5a,within-subtype,cherry,red,prince,charming,5.3,10
4b,5a,between-type,hot,cold,intellectual,professor,1.84615384615,13
1a,1a,within-subtype,appliance,refrigerator,school,university,5.6,10
6a,9a,between-type,ecstasy,sad,garage,mechanic,2.0,10
10a,10a,within-subtype,bell,dinner,pregnancy,baby,2.5,10
5a,5a,within-subtype,flimsy,paper,heat,fire,3.6,10
2a,2a,within-subtype,boat,motor,hand,finger,4.9,10
6a,6c,between-subtype,beauty,unpleasant,dryness,rain,3.23076923077,13
8b,8a,between-subtype,tiredness,rest,tiredness,sleep,4.90909090909,11
7c,7c,within-subtype,hairdresser,comb,soldier,gun,6.45454545455,11
3a,3b,between-subtype,bathroom,restroom,giggle,laugh,6.18181818182,11
7c,7c,within-subtype,doctor,thermometer,gardener,trowel,6.7,10
3a,3b,between-subtype,glass,cup,silt,sediment,5.54545454545,11
1a,1a,within-subtype,bird,swan,furniture,couch,6.0,10
3b,3a,between-subtype,clever,ingenious,house,dwelling,5.3,10
4b,3a,between-type,bored,excited,sleep,doze,1.92307692308,13
3a,3a,within-subtype,beautiful,pretty,seat,chair,4.3,10
6a,6a,within-subtype,charisma,bland,enthusiasm,apathetic,5.61538461538,13
8a,8a,within-subtype,disagreement,anger,injury,pain,5.7,10
2a,2a,within-subtype,computer,chip,fish,fin,5.0,10
8a,8a,within-subtype,explosion,damage,showering,cleanliness,5.3,10
7d,7c,between-subtype,clean,floor,gun,shooter,2.3,10
10a,10c,between-subtype,doctor,diagnosis,object,shadow,4.81818181818,11
4b,4b,within-subtype,difficult,easy,excited,bored,5.5,12
6a,6c,between-subtype,heat,cold,poor,money,3.8,10
1a,1a,within-subtype,bird,swan,sweater,knit,4.0,10
9a,9a,within-subtype,refrigerator,food,space,planets,5.1,10
2a,1a,between-type,dance,step,insect,ant,3.7,10
10c,10a,between-subtype,book,summary,surgery,hospital,3.6,10
7c,7c,within-subtype,maid,broom,shooter,gun,6.4,10
2a,2a,within-subtype,bicycle,wheel,eye,lashes,5.9,10
1a,1a,within-subtype,oak,tree,sweater,knit,2.9,10
8a,8a,within-subtype,disagreement,anger,run,sweat,5.16666666667,12
4b,4b,within-subtype,hot,cold,tall,short,5.36363636364,11
2a,1a,between-type,eye,lashes,song,opera,3.63636363636,11
1a,1e,between-subtype,clothing,shirt,pipeline,Alaska,3.3,10
6a,6a,within-subtype,bounty,scarce,object,intangible,3.3,10
5a,5a,within-subtype,heat,fire,prince,charming,3.4,10
10c,10a,between-subtype,image,picture,pregnancy,baby,3.8,10
8b,8a,between-subtype,avarice,scheme,exercise,fatigue,3.3,10
2a,2a,within-subtype,computer,mouse,hand,finger,5.4,10
10a,10a,within-subtype,crossbones,poison,distrust,camera,2.07692307692,13
9a,9a,within-subtype,dresser,clothes,school,children,5.54545454545,11
10c,10a,between-subtype,artwork,replica,doctor,diagnosis,2.1,10
4b,4c,between-subtype,dull,bright,joy,despair,6.1,10
6a,6a,within-subtype,color,invisible,sight,invisible,3.42857142857,14
2a,2a,within-subtype,bunch,grape,jeans,zipper,2.7,10
7c,7c,within-subtype,gun,shooter,musician,instrument,4.8,10
6a,6a,within-subtype,bounty,scarce,object,tangible,1.9,10
4b,4c,between-subtype,bored,excited,fill,empty,4.09090909091,11
6a,6a,within-subtype,object,tangible,violence,love,1.46153846154,13
4b,4b,within-subtype,excited,bored,ugly,pretty,5.6,10
5a,5a,within-subtype,blanket,soft,snow,cold,6.14285714286,14
7d,7c,between-subtype,act,scene,housekeeper,broom,3.4,10
10c,10a,between-subtype,bouquet,garden,crown,royalty,3.85714285714,14
9a,9a,within-subtype,hangar,airplane,milk,carton,5.2,10
4b,4b,within-subtype,hot,cold,love,apathy,5.5,10
8b,8a,between-subtype,carefully,clumsiness,fire,burns,2.36363636364,11
7c,7c,within-subtype,lawyer,books,teacher,chalk,5.5,10
6a,6a,within-subtype,enthusiasm,apathetic,object,tangible,2.1,10
9a,9a,within-subtype,fridge,food,water,ocean,3.4,10
8b,8a,between-subtype,obesity,exercise,question,answer,4.5,10
9a,9a,within-subtype,carton,milk,hive,bees,6.4,10
5a,5a,within-subtype,priest,holy,steel,strong,6.1,10
2a,2a,within-subtype,freezer,ice,toe,foot,3.6,10
10a,10a,within-subtype,doctor,diagnosis,thunder,lightning,2.81818181818,11
8a,8a,within-subtype,eating,fullness,question,answer,4.63636363636,11
10a,10a,within-subtype,cloud,moisture,help,cry,2.9,10
4b,4b,within-subtype,smart,stupid,ugly,pretty,4.2,10
1a,1a,within-subtype,animal,carabao,weather,rain,5.90909090909,11
2a,1a,between-type,bunch,grape,weather,rain,4.08333333333,12
4b,3a,between-type,big,small,house,abode,1.51851851852,27
2a,10a,between-type,bird,wings,distrust,camera,1.27272727273,11
1a,1a,within-subtype,pen,ballpoint,weather,rain,5.2,10
8a,8a,within-subtype,question,answer,sadness,tears,4.27272727273,11
4b,6a,between-type,bright,dark,ecstasy,sad,5.1,10
8a,8a,within-subtype,sweat,run,tiredness,sleep,2.72727272727,11
5a,9a,between-type,blanket,soft,library,books,2.0,10
10a,10a,within-subtype,crown,royalty,thunder,lightning,4.4,10
5a,5a,within-subtype,clay,malleable,pizza,cheesy,5.5,10
4b,4b,within-subtype,fast,slow,hot,cold,4.2,10
2a,2a,within-subtype,cat,whiskers,foot,toe,5.8,10
2a,2a,within-subtype,boat,motor,cat,whiskers,4.63636363636,11
2a,2a,within-subtype,bookcase,shelf,fish,fin,6.1,10
2a,3a,between-type,city,block,spin,twirl,2.0,10
10a,6a,between-type,help,cry,killer,empathetic,2.3,10
9a,9a,within-subtype,closet,clothes,library,books,6.3,10
9a,9a,within-subtype,school,children,supermarket,groceries,6.1,10
5a,5a,within-subtype,dog,furry,pillow,soft,6.2,10
3a,3a,within-subtype,beautiful,pretty,glass,cup,5.63636363636,11
5a,8a,between-type,blanket,soft,hit,injury,3.5,10
7d,7c,between-subtype,cook,food,doctor,thermometer,3.7,10
5a,5a,within-subtype,steel,tough,sunburn,painful,5.08333333333,12
10c,10a,between-subtype,map,topography,pregnancy,baby,3.90909090909,11
1a,1e,between-subtype,hair,brown,horse,Palomino,5.3,10
6a,6c,between-subtype,bounty,scarce,drought,water,4.58333333333,12
2a,2a,within-subtype,bouquet,flower,city,block,5.38461538462,13
5a,1a,between-type,car,fast,oak,tree,3.0,10
8a,8a,within-subtype,boredom,repetition,study,learning,3.8,10
4b,3a,between-type,chilly,warm,clean,tidy,2.5,10
4b,2a,between-type,black,white,movie,scene,1.90909090909,11
2a,3a,between-type,cat,whiskers,kid,child,4.6,10
3a,3a,within-subtype,cellphone,mobile,clean,tidy,5.0,10
5a,5a,within-subtype,candy,sweet,heat,fire,4.7,10
2a,1a,between-type,lips,mouth,weapon,spear,3.16666666667,12
9a,9g,between-subtype,bathroom,toilet,laughter,parenthood,2.4,10
1e,1a,between-subtype,country,Ireland,sweater,knit,4.35294117647,17
8a,8b,between-subtype,germs,sickness,tiredness,rest,3.09090909091,11
9g,9a,between-subtype,night,stars,space,planets,6.1,10
10a,10a,within-subtype,camera,distrust,rain,storm,1.5,10
9a,9a,within-subtype,farm,tractor,school,student,3.9,10
2a,10a,between-type,bird,feathers,distrust,camera,1.7,10
5c,5a,between-subtype,ascetic,austerity,intellectual,professor,4.2,10
8a,8a,within-subtype,boredom,repetition,heater,warmth,3.7,10
7c,7c,within-subtype,gun,shooter,shooter,gun,5.5,14
3a,2a,between-type,clean,tidy,computer,chip,1.9,10
2a,2b,between-subtype,computer,mouse,herd,elephant,4.3,10
9a,9a,within-subtype,fridge,food,kitchen,food,6.1,10
10a,10a,within-subtype,badge,authority,distrust,camera,1.9,10
4b,4b,within-subtype,fast,slow,pretty,ugly,5.9,10
2a,8a,between-type,hand,finger,sweat,run,2.83333333333,12
8a,8a,within-subtype,run,sweat,sadness,tears,6.2,10
6a,6a,within-subtype,dream,consciousness,object,intangible,1.84615384615,13
5a,5a,within-subtype,clay,malleable,pillow,soft,5.75,12
2b,2a,between-subtype,company,employees,dog,tail,4.90909090909,11
6a,6a,within-subtype,forgiving,vengeful,sensitivity,boorish,3.6,10
6a,6c,between-subtype,color,invisible,sorrow,happiness,4.2,10
1a,1a,within-subtype,appliance,refrigerator,color,red,4.7,10
7c,7c,within-subtype,doctor,thermometer,trainer,treats,4.09090909091,11
8a,8a,within-subtype,sex,pregnancy,tragedy,tears,4.6,10
4b,6a,between-type,fat,thin,fire,cold,5.63636363636,11
7c,7d,between-subtype,drummer,sticks,eat,food,3.6,10
3a,3b,between-subtype,flammable,inflammable,sadness,melancholia,2.1,10
4b,4b,within-subtype,black,white,smart,stupid,5.08333333333,12
7c,7c,within-subtype,police,gun,shopper,cart,5.5,10
9g,9a,between-subtype,christmas,presents,school,children,4.7,10
6a,6a,within-subtype,classic,trendy,liquid,solid,4.5,10
6a,6a,within-subtype,careful,reckless,speed,slow,4.75,12
2a,2a,within-subtype,eye,lashes,hand,finger,6.3,10
2a,2a,within-subtype,book,spine,play,act,4.38461538462,13
10a,10a,within-subtype,bell,dinner,cross,faith,4.9,10
9a,9g,between-subtype,hangar,airplane,homeless,poor,4.09090909091,11
2b,2a,between-subtype,album,photos,computer,mouse,5.5,10
5a,5a,within-subtype,fire,heat,fire,hot,5.7,10
2a,2a,within-subtype,computer,mouse,dance,step,4.1,10
7c,7c,within-subtype,chef,knife,doctor,stethoscope,6.4,10
1a,1a,within-subtype,pen,ballpoint,school,university,5.0,11
2a,3a,between-type,bird,wings,clean,tidy,2.72727272727,11
6a,6a,within-subtype,careful,reckless,honest,liar,5.6,10
10c,10a,between-subtype,song,sound,thunder,lightning,4.8,10
9a,9a,within-subtype,milk,carton,water,ocean,6.09090909091,11
10a,10a,within-subtype,crossbones,poison,smoke,fire,5.0,10
1a,2a,between-type,automobile,van,dog,tail,2.18181818182,11
2a,2a,within-subtype,city,block,dog,tail,5.09090909091,11
9a,9g,between-subtype,forest,trees,laughter,parenthood,2.3,10
7d,7c,between-subtype,brush,teeth,lawyer,books,3.63636363636,11
10a,10a,within-subtype,citation,violation,valentine,love,5.3,10
1a,1a,within-subtype,bird,swan,wheat,bread,4.8,10
9g,9a,between-subtype,infancy,bottle,water,ocean,3.4,10
9a,9a,within-subtype,bank,money,hive,bees,6.6,10
3a,3a,within-subtype,old,mature,pants,trousers,6.3,10
5a,5a,within-subtype,flimsy,paper,pizza,cheesy,3.9,10
1a,1a,within-subtype,animal,pig,song,opera,4.3,10
2a,1a,between-type,dance,step,wheat,bread,4.0,11
10a,10c,between-subtype,cry,help,song,sound,4.27272727273,11
2a,2a,within-subtype,bookcase,shelf,hand,finger,6.09090909091,11
1a,1a,within-subtype,animal,carabao,automobile,van,6.5,10
1a,1a,within-subtype,animal,pig,insect,ant,6.33333333333,12
1a,1a,within-subtype,color,red,rodent,mouse,5.63636363636,11
9a,9a,within-subtype,bathroom,toilet,fridge,food,5.5,10
6a,6a,within-subtype,ecstasy,sad,sight,invisible,3.8,10
5a,8a,between-type,athlete,fit,sadness,tears,3.63636363636,11
2a,6a,between-type,bird,wings,killer,empathetic,1.4,10
10a,10a,within-subtype,doctor,diagnosis,flashing,caution,3.1,10
8a,8a,within-subtype,explosion,damage,germs,sickness,5.6,10
4b,6a,between-type,dirty,clean,violence,love,5.2,10
1a,1a,within-subtype,car,mustang,oak,tree,3.4,10
8a,8a,within-subtype,loss,grief,workout,sweat,5.58333333333,12
10a,4b,between-type,crown,royalty,fat,thin,1.7,10
4b,4b,within-subtype,bad,good,tough,weak,4.0,10
4c,4b,between-subtype,birth,death,dull,bright,5.7,10
2a,4b,between-type,dance,step,sleepy,energized,1.8,10
1a,1e,between-subtype,furniture,couch,king,Arthur,4.9,10
2a,3a,between-type,bird,feathers,music,tunes,4.65,20
5a,5a,within-subtype,clay,malleable,light,bright,5.8,10
1a,1a,within-subtype,hair,brown,insect,ant,4.63636363636,11
1a,3a,between-type,art,abstract,beautiful,pretty,3.25,20
5a,5a,within-subtype,bone,brittle,steel,strong,4.9,10
3a,1a,between-type,kid,child,weather,rain,3.6,10
2a,2a,within-subtype,bird,feathers,bookcase,shelf,5.4,10
5a,5a,within-subtype,steel,strength,sunburn,painful,4.9,10
2a,2a,within-subtype,cat,whiskers,dance,step,4.2,10
8a,8a,within-subtype,heater,warmth,question,answer,2.8,10
9a,9a,within-subtype,dresser,clothes,garage,mechanic,4.6,10
6a,6a,within-subtype,beauty,unpleasant,color,invisible,4.0,10
8b,8a,between-subtype,avarice,scheme,cold,sneeze,2.63636363636,11
2a,2a,within-subtype,bird,feathers,cat,whiskers,6.72727272727,11
1a,6a,between-type,oak,tree,violence,love,1.4,10
9a,9a,within-subtype,carton,milk,school,student,5.1,10
10a,10a,within-subtype,camera,distrust,thunder,lightning,1.25,12
5a,5a,within-subtype,apple,red,fire,hot,5.66666666667,12
7c,8a,between-type,policeman,handcuffs,question,answer,3.1,10
2a,10a,between-type,bedroom,bed,camera,distrust,1.4,10
6a,6a,within-subtype,enthusiasm,apathetic,sensitivity,boorish,4.8,10
4b,4b,within-subtype,dark,light,fat,thin,5.81818181818,11
2a,2a,within-subtype,boat,motor,book,spine,5.09090909091,11
10a,10a,within-subtype,doctor,diagnosis,wrinkle,age,2.45454545455,11
9a,4b,between-type,bank,money,fast,slow,1.1,10
6a,6a,within-subtype,enthusiasm,apathetic,fire,cold,3.76923076923,13
9a,1a,between-type,classroom,students,wheat,bread,3.7,10
9a,9a,within-subtype,classroom,students,garage,mechanic,5.33333333333,12
4b,4b,within-subtype,big,small,dark,light,6.41666666667,12
7c,7c,within-subtype,maid,broom,writer,pen,6.2,10
3a,5a,between-type,clean,tidy,heat,fire,3.2,10
8a,7c,between-type,fire,burns,musician,instrument,3.4,10
5a,5a,within-subtype,flimsy,paper,paper,flimsy,5.6,10
4b,4b,within-subtype,bored,excited,pretty,ugly,5.6,10
9a,9a,within-subtype,farm,tractor,kitchen,food,4.3,10
6a,6a,within-subtype,charisma,bland,liar,honest,4.3,10
4b,4b,within-subtype,good,bad,love,apathy,3.3,10
5a,5a,within-subtype,pizza,cheesy,steel,strong,5.6,10
5a,5c,between-subtype,light,bright,virgin,purity,5.5,12
1a,1a,within-subtype,pen,ballpoint,sweater,knit,4.63636363636,11
3a,3a,within-subtype,bathroom,restroom,spectacles,glasses,6.36363636364,11
4b,4b,within-subtype,big,small,chilly,warm,5.8,10
9a,9a,within-subtype,garage,mechanic,school,student,6.14285714286,14
4b,9a,between-type,bored,excited,closet,clothes,2.3,10
9g,9a,between-subtype,adulthood,job,forest,trees,3.1,10
1a,1a,within-subtype,appliance,refrigerator,rodent,mouse,6.3,10
2a,2a,within-subtype,bouquet,flower,lips,mouth,2.9,10
2a,2b,between-subtype,hand,finger,sheep,herd,3.23076923077,13
3a,3a,within-subtype,sleep,doze,tedious,monotonous,5.5,10
8a,8a,within-subtype,sex,pregnancy,yelling,anger,3.58333333333,12
1a,1a,within-subtype,appliance,refrigerator,bread,wheat,4.4,10
4b,4b,within-subtype,beautiful,hideous,fat,thin,5.2,10
1a,1a,within-subtype,bread,wheat,dog,chihuahua,4.45454545455,11
5c,5a,between-subtype,ballerina,grace,paper,flimsy,4.76923076923,13
6a,6a,within-subtype,empty,full,killer,empathetic,3.91666666667,12
5a,5a,within-subtype,apple,red,professor,intellectual,4.0,10
6a,7c,between-type,best,inferior,gardener,trowel,1.4,10
9a,9a,within-subtype,cupboard,dishes,kitchen,food,6.18181818182,11
5a,5a,within-subtype,plain,flat,steel,strength,4.36363636364,11
9a,9a,within-subtype,garden,flower,school,children,5.61538461538,13
9a,9a,within-subtype,fish,aquarium,hive,bees,5.3,10
6a,6a,within-subtype,dream,consciousness,liar,honest,3.8,10
4b,7c,between-type,dirty,clean,shooter,gun,1.5,10
3a,3a,within-subtype,old,mature,run,sprint,5.0,11
2a,2a,within-subtype,bookcase,shelf,zebra,stripes,4.9,10
8a,8a,within-subtype,study,learning,workout,sweat,5.7,10
3a,3a,within-subtype,house,abode,music,tunes,5.33333333333,12
3a,9a,between-type,careful,cautious,library,books,2.30769230769,13
2a,1a,between-type,foot,toe,hair,brown,3.0,10
8a,8a,within-subtype,eating,fullness,stimulus,response,5.3,10
7c,7c,within-subtype,shooter,gun,writer,pen,5.90909090909,11
1a,1a,within-subtype,couch,furniture,dollar,currency,6.8,10
7c,7c,within-subtype,gardener,shovel,pitcher,baseball,6.3,10
2a,4b,between-type,city,block,thin,fat,2.4,10
3a,3a,within-subtype,boat,ship,spin,twirl,5.5,10
6c,6a,between-subtype,friend,disloyal,liquid,solid,3.83333333333,12
5a,5a,within-subtype,car,fast,intellectual,professor,4.0,10
9a,9a,within-subtype,closet,clothes,garden,flower,6.0,10
3a,3a,within-subtype,house,dwelling,sleep,doze,5.54545454545,11
3b,3a,between-subtype,ennui,boredom,sofa,chair,3.4,10
9a,9a,within-subtype,clothes,dresser,fish,aquarium,6.3,10
8a,8a,within-subtype,accident,damage,showering,cleanliness,5.9,10
1a,1a,within-subtype,couch,furniture,rodent,mouse,5.0,10
3a,3a,within-subtype,music,tunes,spin,twirl,5.1,10
10a,10a,within-subtype,badge,authority,green,go,4.9,10
3a,3a,within-subtype,clean,tidy,dress,frock,5.1,10
1a,8a,between-type,animal,carabao,workout,sweat,2.38461538462,13
7c,7c,within-subtype,housekeeper,broom,teacher,chalk,6.6,10
3a,3a,within-subtype,careful,cautious,run,sprint,5.4,10
4b,4b,within-subtype,pretty,ugly,thin,fat,6.3,10
5a,5a,within-subtype,cherry,red,fizzy,pop,5.0,10
10a,10a,within-subtype,thunder,lightning,thunder,storm,4.41666666667,12
4b,4b,within-subtype,dirty,clean,good,bad,5.47058823529,17
3a,3a,within-subtype,bathroom,restroom,pretty,beautiful,6.23076923077,13
7c,7c,within-subtype,surgeon,scalpel,teacher,chalk,6.3,10
5a,5a,within-subtype,blanket,soft,fire,hot,6.4,10
9a,9a,within-subtype,bus,passengers,space,planets,5.16666666667,12
4b,4b,within-subtype,big,small,excited,bored,5.4,10
9a,9a,within-subtype,cupboard,dishes,water,ocean,3.8,10
2a,2a,within-subtype,bouquet,flower,zebra,stripes,4.75,12
8a,2a,between-type,eating,fullness,play,act,3.4,10
1a,3a,between-type,dog,chihuahua,urban,city,3.3,10
9a,9a,within-subtype,farm,tractor,zoo,animals,5.0,10
7c,7c,within-subtype,drummer,sticks,musician,instrument,5.54545454545,11
2a,2a,within-subtype,bottle,water,city,block,3.81818181818,11
5a,5a,within-subtype,intellectual,professor,plain,flat,4.2,10
1a,1a,within-subtype,couch,furniture,weapon,spear,5.18181818182,11
4b,1a,between-type,big,small,mammal,porpoise,2.45454545455,11
5c,5a,between-subtype,ascetic,austerity,candy,sweet,4.5,10
9a,9a,within-subtype,school,student,zoo,animals,6.54545454545,11
10a,10a,within-subtype,crossbones,poison,wrinkle,age,4.18181818182,11
2a,2b,between-subtype,computer,chip,team,player,5.66666666667,12
4b,4b,within-subtype,pretty,ugly,salty,sweet,5.08333333333,12
3a,3a,within-subtype,make,manufacture,spin,twirl,6.0,10
9a,9a,within-subtype,school,student,space,planets,5.27272727273,11
4b,4b,within-subtype,easy,difficult,hot,cold,6.1,10
1a,1e,between-subtype,furniture,couch,singer,Madonna,5.6,10
10a,10a,within-subtype,camera,distrust,flashing,caution,2.76923076923,13
3a,2a,between-type,house,abode,zebra,stripes,2.36363636364,11
7d,7c,between-subtype,forgive,sin,runner,sneakers,1.5,10
6a,6a,within-subtype,beauty,unpleasant,ecstasy,sad,3.4,10
1a,1a,within-subtype,mammal,porpoise,wheat,bread,5.0,10
8a,8a,within-subtype,loss,grief,sweat,run,4.0,10
1a,2a,between-type,insect,ant,movie,scene,2.5,10
9a,9a,within-subtype,garden,flower,hangar,airplane,5.7,10
7c,7c,within-subtype,gun,shooter,teacher,chalk,3.36363636364,11
7c,7c,within-subtype,gun,shooter,policeman,handcuffs,4.7,10
1a,1a,within-subtype,appliance,refrigerator,weapon,spear,6.3,10
7c,7c,within-subtype,gun,shooter,pitcher,baseball,4.1,10
2a,2a,within-subtype,city,block,computer,chip,4.7,10
1a,1a,within-subtype,color,red,pen,ballpoint,5.5,10
7c,7c,within-subtype,drummer,sticks,pitcher,baseball,5.81818181818,11
1a,1a,within-subtype,dog,chihuahua,sweater,knit,3.4,10
8a,8a,within-subtype,sadness,tears,tragedy,tears,5.63636363636,11
4b,4b,within-subtype,chilly,warm,dull,bright,4.2,10
3a,3a,within-subtype,flammable,inflammable,pretty,beautiful,2.7,10
10a,5a,between-type,badge,authority,pizza,cheesy,2.8,10
8a,8a,within-subtype,learning,study,run,sweat,4.6,10
7c,7c,within-subtype,gardener,shovel,musician,instrument,6.18181818182,11
2a,2a,within-subtype,bouquet,flower,dance,step,5.27272727273,11
4b,4b,within-subtype,black,white,love,apathy,4.76470588235,17
8a,8a,within-subtype,boredom,repetition,injury,pain,4.72727272727,11
6a,6a,within-subtype,dream,consciousness,tidy,messy,4.2,10
6a,6a,within-subtype,charisma,bland,violence,love,3.58333333333,12
4b,4b,within-subtype,fast,slow,thin,fat,5.7,10
4b,4b,within-subtype,hungry,satiated,love,apathy,4.6,10
1a,7c,between-type,pen,ballpoint,writer,pen,2.3,10
6a,6a,within-subtype,best,inferior,liar,honest,5.2,10
5c,5a,between-subtype,baby,helpless,blanket,soft,5.45454545455,11
10a,10a,within-subtype,crossbones,poison,green,go,5.0,10
2b,2a,between-subtype,senators,senate,tastebuds,tongue,5.90909090909,11
3a,3a,within-subtype,boat,ship,seat,chair,5.18181818182,11
5a,5a,within-subtype,flimsy,paper,priest,holy,3.91666666667,12
3a,3a,within-subtype,kid,child,restroom,bathroom,6.18181818182,11
8a,8a,within-subtype,germs,sickness,heater,warmth,5.6,10
9g,9a,between-subtype,adult,career,dresser,clothes,4.63636363636,11
4b,4b,within-subtype,hairy,bald,hungry,satiated,4.5,10
4b,4b,within-subtype,bad,good,hairy,bald,5.6,10
2a,2a,within-subtype,bird,wings,building,wall,6.0,10
7c,7c,within-subtype,doctor,thermometer,teacher,chalk,6.58333333333,12
9a,9g,between-subtype,bus,passengers,halloween,candy,2.9,10
6a,6a,within-subtype,killer,empathetic,voice,mute,3.2,10
7d,7c,between-subtype,dig,ditch,hairdresser,comb,3.2,10
6a,6a,within-subtype,best,inferior,solid,liquid,4.81818181818,11
5a,5a,within-subtype,flimsy,paper,snow,cold,3.5,10
5a,5a,within-subtype,intellectual,professor,sunburn,painful,3.8,10
2a,2a,within-subtype,building,wall,cat,whiskers,5.6,10
4b,2a,between-type,black,white,hand,finger,2.72727272727,11
1e,1a,between-subtype,country,Egypt,hair,brown,4.2,10
2a,4b,between-type,lips,mouth,tough,weak,1.75,12
6a,6a,within-subtype,charisma,bland,diseased,health,5.3,10
8a,9a,between-type,exercise,fatigue,library,books,2.35714285714,14
7d,7c,between-subtype,charity,donate,doctor,thermometer,2.6,10
7c,7c,within-subtype,gardener,trowel,writer,pen,6.7,10
1a,9a,between-type,wheat,bread,zoo,animals,3.07692307692,13
4b,10a,between-type,black,white,crossbones,poison,1.63636363636,11
10a,10a,within-subtype,green,go,pregnancy,baby,4.5,10
5a,5a,within-subtype,clay,malleable,intellectual,professor,3.2,10
9a,9g,between-subtype,carton,milk,infancy,pacifier,3.4,10
6a,6a,within-subtype,killer,empathetic,liquid,solid,3.2,10
8a,8a,within-subtype,loss,grief,study,learning,5.09090909091,11
9a,9a,within-subtype,bus,passengers,supermarket,groceries,5.5,10
7c,7c,within-subtype,chef,knife,policeman,handcuffs,6.0,10
2b,2a,between-subtype,flock,bird,hand,finger,4.75,12
5a,5a,within-subtype,dog,furry,fire,heat,4.72727272727,11
9a,9a,within-subtype,classroom,students,space,planets,6.2,10
1a,1a,within-subtype,color,red,dog,poodle,6.0,10
8a,8a,within-subtype,study,learning,sweat,run,3.66666666667,12
3a,3b,between-subtype,kid,child,pots,pans,3.66666666667,12
7c,7c,within-subtype,drummer,sticks,surgeon,scalpel,6.5,10
10a,10a,within-subtype,cloud,moisture,flag,nation,4.2,10
9a,9a,within-subtype,library,books,refrigerator,food,6.5,12
10a,10a,within-subtype,green,go,love,valentine,3.69230769231,13
3a,3a,within-subtype,flammable,inflammable,seat,chair,1.76923076923,13
6a,6a,within-subtype,color,invisible,hungry,satiety,3.36363636364,11
4b,4b,within-subtype,chilly,warm,fast,slow,5.36363636364,11
8b,8a,between-subtype,fill,emptiness,tragedy,tears,1.6,10
8a,8a,within-subtype,loss,grief,sweating,odor,6.0,11
9a,9a,within-subtype,airplane,hangar,fridge,food,5.09090909091,11
7c,7c,within-subtype,driver,car,surgeon,scalpel,5.8,10
7c,7c,within-subtype,hairdresser,comb,trainer,treats,4.9,10
9a,9a,within-subtype,bank,money,school,children,6.2,10
9a,9a,within-subtype,bathroom,toilet,hive,bees,5.2,10
2a,8a,between-type,cat,whiskers,learning,study,1.9,10
5c,5a,between-subtype,citizen,society,priest,holy,2.92857142857,14
4b,4b,within-subtype,beautiful,hideous,chilly,warm,5.47058823529,17
6a,7c,between-type,liar,honest,runner,sneakers,2.09090909091,11
1a,1a,within-subtype,furniture,couch,politician,senator,6.18181818182,11
3a,3a,within-subtype,flammable,inflammable,run,sprint,1.9,10
8a,8a,within-subtype,learning,study,sadness,tears,4.9,10
6c,6a,between-subtype,dryness,rain,hungry,satiety,4.72727272727,11
7c,7c,within-subtype,gardener,shovel,gardener,trowel,6.6,10
6a,6a,within-subtype,solid,liquid,speed,slow,4.8,10
7c,7c,within-subtype,librarian,books,shooter,gun,6.3,10
1a,5a,between-type,hair,brown,steel,tough,3.8,10
